"SURVEY_ID","CUSTOMER_ID","PRODUCT_ID","SURVEY_DATE","SURVEY_CHANNEL","SURVEY_VERSION","COMPLETION_STATUS","CUSTOMER_AGE_RANGE","CUSTOMER_GENDER","CUSTOMER_LOCATION","CUSTOMER_SEGMENT","PRODUCT_NAME","PRODUCT_CATEGORY","PRODUCT_SUBCATEGORY","PRODUCT_PRICE","PURCHASE_DATE","OVERALL_SATISFACTION","PRODUCT_QUALITY_RATING","VALUE_FOR_MONEY_RATING","DELIVERY_RATING","CUSTOMER_SERVICE_RATING","EASE_OF_USE_RATING","NPS_SCORE","WOULD_RECOMMEND","WOULD_PURCHASE_AGAIN","MEETS_EXPECTATIONS","REVIEW_TEXT","POSITIVE_FEEDBACK","NEGATIVE_FEEDBACK","IMPROVEMENT_SUGGESTIONS","ADDITIONAL_COMMENTS","TIME_TO_COMPLETE_SECONDS","SURVEY_SOURCE"
"SUR0001","CUST0001","PROD001","2024-11-23 09:01:00","web","v2.1","abandoned","35-44","Female","Charlotte, NC","returning","Like a Cloud Bra","Women's Intimates","Sports Bras",68.0,"2024-11-04","","","","","","","","","","","","","","","",11,"post_purchase"
"SUR0002","CUST0002","PROD002","2024-02-17 11:14:00","sms","v2.1","completed","55-64","Female","Sacramento, CA","returning","Metal Vent Tech Short Sleeve","Men's Tops","Shirts",78.0,"2024-01-29",3.0,2.0,1.0,4.0,3.0,3.0,6.0,False,False,True,"They're okay but could use pockets.","","Fit is not flattering","Improve fabric quality","",427,"app_notification"
"SUR0003","CUST0003","PROD003","2024-06-25 17:16:00","sms","v2.1","completed","18-24","Non-binary","Baltimore, MD","new","City Adventurer Backpack 17L","Accessories","Bags",148.0,"2024-05-29",4.0,4.0,4.0,3.0,5.0,3.0,6.0,True,True,True,"Obsessed with these! smooth texture and I live in them.","Great design and functionality","","More color options would be great","",163,"website_popup"
"SUR0004","CUST0004","PROD004","2024-07-13 12:29:00","mobile","v2.1","abandoned","35-44","Female","Nashville, TN","vip","Soft Ambitions Crop Crew","Women's Outerwear","Sweatshirts",98.0,"2024-06-20","","","","","","","","","","","","","","","",51,"website_popup"
"SUR0005","CUST0005","PROD005","2024-02-06 17:40:00","sms","v2.1","partial","55-64","Non-binary","San Francisco, CA","returning","Align High-Rise Short 6""","Women's Bottoms","Shorts",68.0,"2024-01-07",4.0,5.0,2.0,3.0,"","","",True,"",True,"Amazing fit! durable construction and I've already ordered more.","","","","",112,"website_popup"
"SUR0006","CUST0006","PROD006","2024-08-22 10:16:00","sms","v2.1","abandoned","25-34","Non-binary","Sacramento, CA","vip","Hotty Hot Short 2.5""","Women's Bottoms","Shorts",68.0,"2024-08-10","","","","","","","","","","","","","","","",18,"app_notification"
"SUR0007","CUST0007","PROD007","2024-09-17 15:05:00","sms","v2.1","abandoned","18-24","Female","San Jose, CA","returning","Free to Be Serene Bra","Women's Intimates","Sports Bras",52.0,"2024-09-04","","","","","","","","","","","","","","","",39,"post_purchase"
"SUR0008","CUST0008","PROD008","2024-09-27 12:35:00","email","v2.1","completed","18-24","Non-binary","Mesa, AZ","vip","Align High-Rise Pant 25""","Women's Bottoms","Leggings",128.0,"2024-09-13",2.0,1.0,2.0,3.0,2.0,3.0,3.0,False,False,False,"Disappointed with inconsistent sizing. Expected more from Lululemon.","","Poor value for money","Better construction","",216,"website_popup"
"SUR0009","CUST0009","PROD009","2024-07-10 20:10:00","sms","v2.1","completed","55-64","Female","Long Beach, CA","vip","Commission Short Sleeve Shirt","Men's Tops","Shirts",128.0,"2024-06-10",3.0,3.0,1.0,2.0,2.0,4.0,4.0,False,False,True,"They work well but sizing runs a bit small.","","Material feels cheap","More color options","",229,"post_purchase"
"SUR0010","CUST0010","PROD010","2024-05-15 16:55:00","email","v2.1","partial","45-54","Female","Mesa, AZ","returning","Scuba Oversized Half-Zip Hoodie","Women's Outerwear","Hoodies",118.0,"2024-04-30",5.0,4.0,4.0,5.0,"",4.0,10.0,True,True,True,"Obsessed with these! moisture-wicking technology and I live in them.","","","","",57,"website_popup"
"SUR0011","CUST0011","PROD011","2024-10-03 10:46:00","sms","v2.1","completed","55-64","Male","San Francisco, CA","at_risk","Drysense Tank","Men's Tops","Tank Tops",58.0,"2024-09-29",4.0,4.0,3.0,4.0,4.0,5.0,6.0,True,True,True,"Love these! Great quality and buttery soft fabric.","Perfect fit and feel","","Extended length options","",171,"post_purchase"
"SUR0012","CUST0012","PROD012","2024-05-07 11:12:00","email","v2.1","partial","45-54","Female","Las Vegas, NV","returning","Commission Short Sleeve Shirt","Men's Tops","Shirts",128.0,"2024-04-09",5.0,5.0,5.0,"","","","","","",True,"These are perfect! perfect length and great for gym sessions.","Perfect fit and feel","","","",30,"email_campaign"
"SUR0013","CUST0013","PROD013","2024-07-18 12:59:00","mobile","v2.1","completed","45-54","Male","Las Vegas, NV","at_risk","Everywhere Belt Bag","Accessories","Bags",38.0,"2024-07-11",5.0,5.0,5.0,5.0,4.0,5.0,9.0,True,True,True,"These are amazing! So comfortable and perfect for yoga.","Exceeded all expectations","","","",221,"website_popup"
"SUR0014","CUST0014","PROD014","2024-01-30 16:05:00","sms","v2.1","completed","18-24","Non-binary","Phoenix, AZ","returning","Soft Ambitions High-Rise Short 3""","Women's Bottoms","Shorts",68.0,"2024-01-11",4.0,5.0,2.0,4.0,5.0,5.0,10.0,True,True,True,"Best bottom ever! perfect length and so comfortable.","Great design and functionality","","Additional size options","",381,"email_campaign"
"SUR0015","CUST0015","PROD015","2024-05-02 12:25:00","web","v2.1","partial","35-44","Male","Boston, MA","new","Hotty Hot Short 2.5""","Women's Bottoms","Shorts",68.0,"2024-04-29",4.0,3.0,"","","","",2.0,True,True,True,"","","","","",97,"post_purchase"
"SUR0016","CUST0016","PROD016","2024-01-05 18:52:00","email","v2.1","completed","35-44","Non-binary","San Antonio, TX","returning","Fundamental T-Shirt","Men's Tops","Shirts",58.0,"2023-12-12",4.0,4.0,3.0,5.0,3.0,5.0,8.0,True,True,True,"Incredible quality! breathable fabric and worth every penny.","Exceeded all expectations","","Maybe a softer fabric version","",112,"post_purchase"
"SUR0017","CUST0017","PROD017","2024-02-17 18:27:00","email","v2.1","completed","18-24","Female","El Paso, TX","returning","Commission Pant Classic 32""","Men's Bottoms","Pants",138.0,"2024-01-30",4.0,5.0,2.0,3.0,3.0,5.0,7.0,True,True,True,"These are amazing! So comfortable and perfect for casual outings.","Outstanding quality as always","","More seasonal colors","",500,"app_notification"
"SUR0018","CUST0018","PROD018","2024-03-06 08:19:00","web","v2.1","partial","18-24","Male","Columbus, OH","returning","Bowline Short 8""","Men's Bottoms","Shorts",78.0,"2024-02-15",4.0,"",2.0,"","","","",True,"",True,"","","","","",61,"app_notification"
"SUR0019","CUST0019","PROD019","2024-05-16 10:50:00","mobile","v2.1","completed","18-24","Male","Chicago, IL","at_risk","City Excursion Hoodie","Men's Outerwear","Hoodies",148.0,"2024-05-04",3.0,2.0,1.0,2.0,4.0,2.0,7.0,False,False,True,"Functional but sizing runs a bit small.","","Poor value for money","Better quality control","",469,"app_notification"
"SUR0020","CUST0020","PROD020","2024-12-13 21:34:00","email","v2.1","completed","18-24","Female","Indianapolis, IN","returning","License to Train Short 7""","Men's Bottoms","Shorts",78.0,"2024-11-23",4.0,5.0,3.0,4.0,5.0,5.0,6.0,True,True,True,"These exceeded my expectations! great stretch and great value.","Great design and functionality","","More color options would be great","",61,"post_purchase"
"SUR0021","CUST0021","PROD021","2024-09-23 22:51:00","email","v2.1","abandoned","25-34","Male","Las Vegas, NV","new","Commission Short Sleeve Shirt","Men's Tops","Shirts",128.0,"2024-09-01","","","","","","","","","","","","","","","",56,"website_popup"
"SUR0022","CUST0022","PROD022","2024-06-02 16:19:00","mobile","v2.1","completed","45-54","Male","Memphis, TN","vip","Down For It All Jacket","Women's Outerwear","Jackets",298.0,"2024-05-11",5.0,5.0,5.0,4.0,5.0,5.0,9.0,True,True,True,"Love the lightweight feel! Perfect for pilates.","Incredible fabric quality and fit","","","",275,"app_notification"
"SUR0023","CUST0023","PROD023","2024-08-08 20:37:00","mobile","v2.1","abandoned","35-44","Male","Louisville, KY","at_risk","Scuba Oversized Half-Zip Hoodie","Women's Outerwear","Hoodies",118.0,"2024-07-13","","","","","","","","","","","","","","","",60,"app_notification"
"SUR0024","CUST0024","PROD024","2024-03-27 18:05:00","web","v2.1","completed","55-64","Non-binary","Raleigh, NC","vip","Intent Jogger","Men's Bottoms","Joggers",118.0,"2024-03-19",5.0,4.0,3.0,4.0,4.0,5.0,10.0,True,True,True,"Amazing fit! durable construction and I've already ordered more.","Excellent construction and durability","","","",453,"website_popup"
